Date,Company,Open,Close,High,Low,Volume
2022-11-21,KOTAKBANK.BSE,1957.9000,1943.4000,1957.9000,1933.4500,12326
2022-11-18,KOTAKBANK.BSE,1967.7500,1958.8500,1997.0000,1948.4000,67535
2022-11-17,KOTAKBANK.BSE,1965.6500,1950.2000,1965.6500,1942.3000,35300
2022-11-16,KOTAKBANK.BSE,1900.2000,1965.6500,1968.0000,1900.2000,130437
2022-11-15,KOTAKBANK.BSE,1923.0000,1913.4500,1932.3500,1896.0000,75236
2022-11-14,KOTAKBANK.BSE,1898.0000,1922.7000,1928.6500,1898.0000,41397
2022-11-11,KOTAKBANK.BSE,1926.0500,1898.6000,1931.3000,1891.4500,73194
2022-11-10,KOTAKBANK.BSE,1889.0000,1912.5500,1915.0000,1889.0000,48977
2022-11-09,KOTAKBANK.BSE,1895.0500,1896.4500,1903.5000,1880.4500,39228
2022-11-07,KOTAKBANK.BSE,1900.0000,1883.0500,1909.8000,1872.0000,86133
2022-11-04,KOTAKBANK.BSE,1892.3500,1900.6500,1907.2500,1892.3500,11702
2022-11-03,KOTAKBANK.BSE,1910.0000,1899.8500,1912.0500,1893.1000,37129
2022-11-02,KOTAKBANK.BSE,1919.5000,1909.6000,1919.5000,1898.3000,18331
2022-11-01,KOTAKBANK.BSE,1902.2500,1908.8500,1940.9000,1902.2500,62469
2022-10-31,KOTAKBANK.BSE,1899.6000,1901.8000,1912.8000,1889.4000,31801
2022-10-28,KOTAKBANK.BSE,1872.0000,1883.7000,1894.8500,1871.7000,73572
2022-10-27,KOTAKBANK.BSE,1880.0000,1869.2000,1888.1000,1850.0000,71280
2022-10-25,KOTAKBANK.BSE,1906.8000,1847.0500,1911.0000,1842.3500,64134
2022-10-21,KOTAKBANK.BSE,1874.6500,1902.9000,1925.0000,1866.6000,215842
2022-10-20,KOTAKBANK.BSE,1872.4500,1864.6000,1882.2500,1856.0000,34917
2022-10-19,KOTAKBANK.BSE,1875.3500,1869.3500,1877.0000,1856.0000,30372
2022-10-18,KOTAKBANK.BSE,1868.0000,1860.0500,1875.4000,1855.1000,30646
2022-10-17,KOTAKBANK.BSE,1827.0000,1858.5000,1861.3000,1819.7500,758730
2022-10-14,KOTAKBANK.BSE,1834.9500,1834.5500,1857.2000,1825.0000,26646
2022-10-13,KOTAKBANK.BSE,1811.0000,1800.3500,1815.1000,1793.5500,17797
2022-10-12,KOTAKBANK.BSE,1793.4500,1810.4500,1815.4500,1782.6500,12011
2022-10-11,KOTAKBANK.BSE,1816.2000,1787.5500,1816.2000,1783.8000,36953
2022-10-10,KOTAKBANK.BSE,1796.4500,1808.6000,1821.0000,1795.0000,24723
2022-10-07,KOTAKBANK.BSE,1814.0000,1825.6500,1829.9000,1802.4000,17671
2022-10-06,KOTAKBANK.BSE,1825.3500,1818.2500,1837.9000,1811.8500,32419
